nid|neighborhd|place|placecode|nbr_type|po_name|metro|country|state|statefips|county|countyfips|mcd|mcdfips|cbsa|cbsacode|cbsatype|cenlat|cenlon|color|ncs_code|release|wkt
54729|Heckendorn Place|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.95006698|-95.429169|5|40310000|1.10.2|MULTIPOLYGON(((-95.43078108 29.94985296,-95.43077712 29.949669,-95.43076092 29.94894396,-95.42799792 29.94901803,-95.42799396 29.94898599,-95.42755692 29.94902604,-95.42759112 29.951019,-95.42919492 29.95101603,-95.42967192 29.95119,-95.42993292 29.95108803,-95.42991888 29.95091703,-95.43034404 29.95042797,-95.43047508 29.95007904,-95.43078108 29.94985296)))
54730|Greenspoint|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.95013304|-95.40347112|1|40330000|1.10.2|MULTIPOLYGON(((-95.40565308 29.95064001,-95.40531396 29.95012197,-95.40485784 29.94979896,-95.40128916 29.94872904,-95.40132804 29.95153704,-95.40449208 29.951487,-95.40448704 29.95120899,-95.40417096 29.95121403,-95.40416196 29.95069401,-95.404194 29.95066503,-95.40565308 29.95064001)))
54731|Park De Ville Condo|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.951063505|-95.40516852|2|40330000|1.10.2|MULTIPOLYGON(((-95.40565308 29.95064001,-95.404194 29.95066503,-95.40416196 29.95069401,-95.40417096 29.95121403,-95.40448704 29.95120899,-95.40449208 29.951487,-95.40617508 29.95147098,-95.40565308 29.95064001)))
54732|Northgate|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.951279505|-95.41138446|3|40310000|1.10.2|MULTIPOLYGON(((-95.41185588 29.95115598,-95.41090908 29.95116903,-95.41091304 29.95140303,-95.41185984 29.95138701,-95.41185588 29.95115598)))
54733|Wooded Acres|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.93671602|-95.34774492|4|40000000|1.10.2|MULTIPOLYGON(((-95.34983004 29.93560101,-95.34816 29.93562504,-95.345613 29.93566203,-95.34562488 29.93779197,-95.34562488 29.93783103,-95.34987684 29.93775903,-95.34985596 29.93698296,-95.34983004 29.93560101)))
54734|Aldine Manor|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.928680505|-95.38984206|5|40310000|1.10.2|MULTIPOLYGON(((-95.39080308 29.92560003,-95.388777 29.92563297,-95.38889364 29.93173776,-95.388894 29.93176098,-95.39003916 29.93175603,-95.39003808 29.93173425,-95.39001684 29.93128803,-95.39090712 29.93127498,-95.39080308 29.92560003)))
54735|Colonial Hills|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.914443|-95.38895808|1|40310000|1.10.2|MULTIPOLYGON(((-95.392845 29.91371796,-95.39284608 29.912922,-95.38668108 29.91295503,-95.38478208 29.91296898,-95.38481808 29.91493701,-95.38482708 29.915964,-95.392836 29.91546702,-95.39283708 29.91554397,-95.39312508 29.91553803,-95.393133 29.91410496,-95.39313408 29.91371103,-95.392845 29.91371796)))
54736|Eldridge Crossroads|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.92100949|-95.60499894|2|40000000|1.10.2|MULTIPOLYGON(((-95.60503692 29.920428,-95.60441196 29.920707,-95.60494512 29.92157001,-95.605038 29.92159098,-95.60558592 29.92132701,-95.60503692 29.920428)))
54737|Airline Acres|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.91473001|-95.39904204|3|40310000|1.10.2|MULTIPOLYGON(((-95.404959 29.91528,-95.40448992 29.91392199,-95.40048384 29.91400002,-95.39737488 29.91404799,-95.393133 29.91410496,-95.39312508 29.91553803,-95.40104112 29.91542301,-95.40459792 29.915334,-95.404959 29.91528)))
54738|Mclendon Towne Crossing|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.9130345|-95.41573758|4|40100000|1.10.2|MULTIPOLYGON(((-95.41369188 29.914974,-95.418495 29.91513501,-95.41744488 29.91093399,-95.41298016 29.91102597,-95.41303884 29.91454101,-95.41370088 29.91452103,-95.41369188 29.914974)))
